Frame,Left Shoulder X,Left Shoulder Y,Left Elbow X,Left Elbow Y,Left Wrist X,Left Wrist Y,Right Shoulder X,Right Shoulder Y,Right Elbow X,Right Elbow Y,Right Wrist X,Right Wrist Y,Left Arm Angle,Right Arm Angle
1.0,1371.3836288452148,775.7787895202637,1534.5059967041016,1089.102087020874,1527.2507858276367,1508.0566120147705,823.6697387695312,713.2436227798462,383.6721611022949,602.2994327545166,833.5098838806152,349.1624593734741,151.5054983290991,43.51972057458365
2.0,1381.5509033203125,775.888352394104,1534.508285522461,1265.2188062667847,1470.7017517089844,1618.9328241348267,823.7097358703613,713.9548802375793,384.0735054016113,601.8983888626099,835.7025146484375,347.0836937427521,152.41591015845762,43.73157272875704
3.0,1383.6819076538086,775.1555943489075,1527.6898956298828,1198.01118850708,1450.6158828735352,1595.499758720398,822.2491264343262,714.0699148178101,384.0208911895752,601.0552310943604,836.8626022338867,345.37713289260864,150.21956011209662,43.9103441715356
4.0,1389.4681549072266,775.2417898178101,1527.8551483154297,1271.7164897918701,1445.9796524047852,1669.8740243911743,822.2766494750977,716.6586756706238,383.8067436218262,602.9167056083679,836.638011932373,346.21694326400757,152.80467008524914,44.09027902560292
5.0,1395.783805847168,775.9939885139465,1525.4936599731445,1299.2355680465698,1443.8407516479492,1701.5944719314575,822.0277976989746,717.1031713485718,383.7807369232178,603.552839756012,840.8872604370117,346.34591460227966,154.60567055929766,43.89176734857278
6.0,1401.3119888305664,776.130588054657,1525.2240371704102,1308.8311386108398,1448.8252258300781,1698.3912706375122,823.6537742614746,718.5470581054688,388.3927059173584,603.1156826019287,851.0950469970703,346.15398645401,155.8094568755504,43.89854992504889
7.0,1404.3501663208008,776.1454582214355,1525.565528869629,1307.5439357757568,1451.5268325805664,1680.3282022476196,824.948673248291,719.2568349838257,391.9677257537842,601.3043546676636,860.6999015808105,346.1888122558594,155.91698948287527,43.796709713000666
8.0,1404.957389831543,775.9227275848389,1525.3413391113281,1303.4003734588623,1453.6283111572266,1674.1845703125,825.5684280395508,719.7708535194397,393.7001323699951,599.6687006950378,868.729190826416,347.3492646217346,156.1974571266692,43.516932285053024
9.0,1407.0281982421875,776.1632251739502,1523.3172225952148,1314.058485031128,1454.8579788208008,1676.0687685012817,827.8484916687012,721.1847424507141,397.10938453674316,598.6946725845337,870.5372428894043,347.44476199150085,157.09215597173346,43.829316082507184
10.0,1407.5748825073242,776.4225196838379,1519.1466522216797,1190.7867336273193,1455.6104278564453,1675.1735973358154,828.7785530090332,721.1808800697327,399.2769527435303,597.8746891021729,872.4982452392578,347.5931739807129,157.45721119062205,43.89218306689482
11.0,1409.4108581542969,776.5991592407227,1514.9875259399414,1275.6510972976685,1451.6879653930664,1644.339952468872,834.4742774963379,721.1917591094971,405.2351760864258,600.5215787887573,871.7070579528809,346.69912934303284,158.3129108387373,44.254085062876214
12.0,1411.3319778442383,777.1476817131042,1516.010627746582,1315.9707498550415,1452.2629165649414,1634.0248203277588,836.1242294311523,721.3957571983337,409.10948753356934,605.5494332313538,871.5273284912109,345.42203307151794,157.6722940434228,44.538016977021066
13.0,1412.8066635131836,777.7231121063232,1517.6564025878906,1325.3768062591553,1452.9507064819336,1646.8327331542969,836.0770797729492,721.5466475486755,413.76545906066895,608.830075263977,871.2092971801758,344.7782063484192,157.7807698542912,44.93907894226274
14.0,1415.6737518310547,777.7393341064453,1518.152961730957,1324.9970054626465,1451.9853973388672,1655.9314727783203,838.1797027587891,721.5554022789001,416.6491985321045,612.7967405319214,871.3708877563477,345.87908148765564,158.08694109443462,44.87987331515155
15.0,1419.6161270141602,778.1016254425049,1520.7743453979492,1329.422779083252,1443.5351943969727,1699.4741535186768,841.6339874267578,721.6110849380493,416.7803764343262,618.3690619468689,871.168212890625,345.9356653690338,157.81300898012657,44.603752706890496
16.0,1422.1516799926758,778.0675721168518,1520.767936706543,1178.178505897522,1444.6410369873047,1700.7455205917358,848.441047668457,721.0102915763855,418.79754066467285,620.823347568512,871.5681266784668,346.4867949485779,157.8656761668982,44.3379645898666
17.0,1425.5178451538086,778.0826997756958,1520.7799530029297,1158.4669733047485,1444.566993713379,1719.1556882858276,852.883186340332,721.7268919944763,419.0822410583496,621.2817478179932,871.4595794677734,346.21185779571533,158.19959387223798,44.33876271585613
18.0,1428.1636047363281,778.095703125,1521.1904525756836,1158.6733531951904,1445.2839660644531,1714.3922138214111,856.347770690918,724.8442196846008,419.23516273498535,621.1544823646545,871.3540649414062,348.2296299934387,158.48620829115276,44.46235382496513
19.0,1429.2673873901367,778.3801674842834,1536.65771484375,1235.2863836288452,1445.6738662719727,1710.1627779006958,857.3116493225098,727.6316356658936,420.71974754333496,621.0180115699768,874.621524810791,353.1503999233246,155.9272521106241,44.26953273244083
20.0,1429.888916015625,779.4048571586609,1553.331298828125,1259.3698740005493,1466.1767578125,1707.5427961349487,857.0207977294922,730.5584836006165,421.4539432525635,622.063558101654,877.507438659668,355.61495304107666,154.57192434738826,44.28265595160071
21.0,1429.7657775878906,779.7155857086182,1552.793083190918,1151.9018268585205,1480.7857131958008,1699.5588684082031,857.135124206543,731.6873931884766,423.0347728729248,624.8817443847656,878.5004425048828,359.4549322128296,154.21810699788796,44.054338147512034
22.0,1429.7749328613281,780.3268718719482,1552.0552825927734,1131.3467502593994,1485.5622482299805,1696.6565465927124,857.3269844055176,732.438690662384,424.0893745422363,626.0788893699646,879.0363121032715,361.02067708969116,154.08540601779669,44.018973046714066
